empno,net
100000825,1118.3
100002706,17605.54
100007628,3601.25
100015243,1998.75
100020948,3168.25
100021405,1356.66
100023637,939.78
100024912,2830
100025598,1886.5
100027553,4525.24
100027954,1738.34
100030769,4833.08
100031141,5148.19
100031512,3775.53
100031857,4547
100032657,3252.09
100033018,3212.44
100033055,6070.66
100034565,4292.04
100035745,4799.96
100036362,6380
100036755,2621.32
100038162,5320.25
100038999,2357.54
100039089,3361.75
100039418,3310.43
100040033,3029.08
100040229,4061.36
100042252,4767.39
100042552,3488.06
100043352,36447.4
100044309,3956.24
100045447,2710.57
100045589,2280
100045720,8870.66
100045800,591.95
100045916,2000.5
100047509,3830.52
100047636,4772.3
100047981,4412.25
100048510,2230.6
100049244,4178.1
100049612,2681.88
100050878,3773.73
100050941,1947.25
100051213,4516.46
100051215,6561.52
100051498,3837.06
100051672,8133.23
100051828,3616.18
100052578,3053.1
100053699,637.05
100053758,3412.1
100053760,3628.42
100054060,4492.26
100055404,4040.16
100055934,4580.25
100056022,4214.22
100056825,3338.75
100056955,8288.54
100057028,4222.72
100057112,3632.41
100057642,5632.2
100058130,6693.7
100059479,636.85
100060996,160
100061239,5242.83
100062242,1666.98
100062376,3660.25
100063112,4119.55
100063234,2212.75
100063590,4829.89
100063787,1966.48
100063797,3605.04
100064036,3929.24
100064531,5142.92
100064896,2956.36
100065864,2875.76
100065957,2008.7
100066776,2181.46
100067234,3620.54
100067544,3032.33
100067588,1298.75
100069427,6247.96
100069473,658.83
100070626,2781.96
100071076,2405.55
100071156,3244.91
100071811,2600.27
100072260,0
100072851,3540.25
100073827,4354.3
100074298,2693.97
100076128,2282.25
100076775,3453.44
100077772,3458.25
100078507,5440.03
100079037,4363.96
100079225,2484.5
100082470,3384.26
100082492,4187.42
100082640,3840.02
100083393,3328.1
100084175,2823.16
100084359,1281.25
100084530,3629.58
100086541,2924.4
100086647,1681.75
100087108,2530.88
100087662,3959.5
100087699,1955.66
100089442,4583.25
100089694,4506.52
100090787,4241.45
100091067,6806.87
100091278,4351
100091435,1585.3
100091516,4518.14
100091521,6588.9
100091543,4806
100091754,3456.98
100092619,2121
100092810,244.15
100093846,129.4
100094105,2582.62
100094638,3247.14
100094730,3510.73
100095121,4102.54
100095900,3137.75
100095996,2270.77
100096072,3616.5
100096471,3947.25
100097178,3855
100097508,4344.18
100097510,5080.2
100097512,4578
100097829,1932.83
100097961,2014.67
100098265,2655.46
100098689,1530.42
100098823,3657.26
100098861,3599.74
100099901,1794.1
100100470,3532.96
100100711,6017.87
100100714,4576.8
100100872,4120.25
100101030,2315.94
100101069,3092.62
100101328,3439.42
100101511,2231.89
100102355,7306.25
100102596,1378.57
100102604,2575.76
100102622,5458
100102624,6271.79
100103346,4369
100103478,2303.62
100103723,3246.75
100103813,2158.63
100104633,4158
100104860,2695.31
100105028,4463
100105113,5710
100105114,6616
100105121,5221.96
100105125,6272.41
100105127,4611
100105128,4463
100105131,4620
100105138,5959.8
100105139,4487.54
100105305,4256.08
100105419,4710
100105424,4841
100105436,4383.1
100105451,4545
100105454,4620
100105456,4487
100105654,4856.25
100105894,4568.53
100106149,3590.96
100106310,1903.64
100106393,3675.28
100106453,3487.35
100106475,3451
100106551,1971.75
100106845,3365.44
100107311,6783
100107396,4362.5
100107450,2773.83
100107493,3633.83
100107507,3080.7
100107749,1960.21
100107897,3796.95
100107933,4364.13
100108301,4252.25
100108818,4258
100109175,79.59
100109332,2067.92
100109417,3495.16
100109690,3564.34
100110050,3247.25
100110110,2753.84
100110280,2861.05
100110627,2641.54
100110865,4754
100110869,2936.25
100111396,368.25
100112372,2840.75
100113034,2146.3
100113400,2153.3
100113562,7465.25
100114027,3981.46
100114105,3202.75
100114218,2554.25
100114323,5919.4
100114582,3479.1
100114583,2353.94
100114614,2056.56
100114720,2357.13
100115626,6049.81
100115629,4061.12
100115631,2228.42
100115648,3750.48
100115672,10401.19
100115683,3785
100115848,-343.71
100116248,2168.64
100116330,2589.71
100116494,2473.44
100116596,5577.13
100116692,4985
100116920,5039.37
100116925,6073
100116939,2307.75
100117075,28053.57
100117131,2495.66
100117198,2628.75
100117366,2187.32
100117372,2223.62
100117418,3477.25
100117454,2620.8
100117457,3985.25
100117944,0
100118099,2269.64
100118128,292.83
100118382,3883.33
100118511,3942.8
100118625,3200.24
100118671,4520.22
100118691,1456.42
100118749,3700
100118767,547.1
100118899,98.04
100119157,5708.84
100119215,8300
100119224,5393.86
100119232,1854.1
100119327,10936.38
100119380,1124.5
100119387,8609.31
100119388,2871.96
100119441,2244.56
100119448,3985.25
100119459,2718.88
100119792,1582.5
100119831,9450
100119836,8752.42
100119873,2554.5
100119987,2028.56
100120023,1474.04
100120065,4155.51
100120068,4220
100120070,5710.39
100120120,8429.6
100120121,4676
100120150,2925.25
100120171,3814.5
100120188,1814.46
100120191,6078.25
100120201,2158.35
100120202,1815.81
100120204,2201.81
100120296,2249.75
100120330,3605
100120331,4371
100120332,5519
100120339,4537.6
100120343,5810.26
100120374,3453.75
100120398,776
100120425,2389.75
100120445,7247.22
100120446,4630
100120515,8872.11
100120523,3100
100120645,3890
100120654,3890
100120701,3980.67
100120712,5090.51
100120718,1927.4
100120720,2494.44
100120764,3723.5
100120779,1735.03
100120792,3820.6
100120828,5178
100120850,6076
100120851,5920
100120852,5552
100120853,5517
100120889,3274.75
100120924,3971.1
100120925,2962.96
100120930,2962
100120969,2497.26
100120976,5041.12
100121019,2013.56
100121045,3899
100121129,4506.7
100121131,4280
100121133,4175
100121134,4592.02
100121135,2927.37
100121143,1831.1
100121197,10037.45
100121311,6121.25
100121327,2796.62
100121357,2035.75
100121366,945.25
100121644,1157.8
100121687,1771.75
100121746,4055
100121829,5399
100121939,2411.75
100121975,1867.25
100121987,2838.98
100122035,2596.8
100122036,14035.45
100122037,15921.35
100122177,3435.67
100122179,4560.03
100122234,3670.47
100122259,4425.57
100122260,4715.33
100122277,2057.16
100122308,2057.75
100122320,3458.25
100122345,3772.33
100122358,3161.75
100122359,2888.32
100122413,5756
100122424,13063.97
100122426,5305.25
100122531,5298.32
100122570,2083.69
100122622,3906.25
100122627,2812.89
100122647,6544.83
100122698,3526.29
100122707,2159.9
100122714,333.74
100122715,751.74
100122726,2127.73
100122753,820.75
100122779,4084.2
100122798,207.24
100122817,2455.65
100122896,3624
100122917,2184.19
100122955,214.24
100122982,2915.96
100123028,2487.77
100123031,2181.38
100123072,3310.33
100123073,3463.33
100123083,3450
100123084,4086
100123093,1615.25
100123108,603.63
100123116,2590.46
100123119,1867.1
100123120,2073.92
100123136,5600
100123175,2440.29
100123182,204.56
100123186,3228.75
100123216,582.25
100123217,2023.39
100123243,159.19
100123284,5320.39
100123393,230.33
100123395,638.89
100123401,225.75
100123408,5231.78
100123409,4806.06
100123411,4849.76
100123417,316.56
100123438,10660.25
100123473,3995
100123519,5560
100123535,1929.75
100123536,1956.75
100123610,4654.05
100123626,4421.13
100123631,3168.75
100123632,2399.75
100123644,6418.75
100123714,1287.7
100123742,3600
100123778,2242.36
100123828,6332.04
100123829,4728.57
100123831,6144.23
100123832,4460.29
100123846,1736.46
100123859,16000.25
100123874,5498.25
100123907,2392.96
100123947,5590.08
100123992,4357.26
100123993,3749.18
100124084,1965.94
100124136,2272.3
100124187,1169.25
100124215,438
100124233,115.4
100124271,393.66
100124275,1716.25
100124329,6120
100124338,240.59
100124408,3985.25
100124434,4070
100124445,333.25
100124472,4300
100124502,2745.25
100124516,2715.98
100124527,517.25
100124532,636.83
100124543,9488.75
100124544,3651.25
100124579,2056
100124590,7700
100124615,2222.46
100124616,2157.31
100124624,1697.72
100124676,3441.53
100124688,4579
100124710,1984.16
100124733,2035.17
100124746,1089.29
100124749,3494.25
100124822,671.75
100124823,796.25
100124840,3450
100124841,3964.9
100124842,5126
100124875,0
100124939,1223.75
100124966,4922.08
100124967,5538.75
100125072,3012.51
100125088,1879.01
100125180,3803.1
100125208,955.25
100125226,7000
100125255,1504.75
100125260,2079.05
100125281,2180.69
100125325,1395.54
100125326,1966.49
100125338,3781.87
100125345,2045.59
100125348,3746.24
100125352,570.25
100125371,2231.52
100125400,2862.7
100125429,838.6
100125453,2237.25
100125456,5627.35
100125547,3274.75
100125558,1034.75
100125660,4199.75
100125678,2834.27
100125714,601.75
100125745,1895.66
100125751,218.75
100125758,438.75
100125778,1254.21
100125796,2081.15
100125815,336.98
100125830,0
100125874,1463.59
100125883,14159.21
100125888,1510.81
100125941,5726.51
100125973,507.75
100125988,2744.83
100125989,3325.6
100125990,3820.3
100125991,3766.16
100125992,5763.32
100125993,4570.06
100125994,3529.26
100125995,3580.93
100125996,3255.61
100125997,4672.74
100125998,5668.56
100125999,3600
100126006,2132.82
100126101,2650.64
100126104,1995.97
100126151,2653.28
100126153,5000
100126155,1830.25
100126184,3400
100126190,8788.25
100126204,2229.46
100126205,2490.61
100126206,3202.75
100126211,552.25
100126218,4062.21
100126237,611.75
100126269,2473.9
100126278,2379.25
100126289,3300
100126330,4719.45
100126333,4416.91
100126336,2220.17
100126337,3608.23
100126340,2514.61
100126349,1728.36
100126360,23000.59
100126363,4380.67
100126364,2030.53
100126371,7000
100126411,4500
100126426,2029.83
100126433,2067.16
100126435,-119.44
100126445,2851.39
100126446,3600
100126449,2375.14
100126453,1017.75
100126455,1953.65
100126457,1815.73
100126463,1555.75
100126491,5461
100126552,686.35
100126613,2943.05
100126625,2010.16
100126630,2277.14
100126631,2212.48
100126663,1490.23
100126664,4501
100126665,2562.25
100126668,2093.19
100126672,3250.1
100126673,4320.7
100126682,2422.66
100126697,2317.64
100126698,5106.95
100126722,2390.65
100126730,1073.25
100126742,4248.83
100126743,2076.75
100126745,1912.07
100126748,3365.64
100126753,3898.54
100126774,3900
100126775,2528.62
100126776,2887.86
100126793,2343.63
100126795,3317
100126797,2793.77
100126798,2406.81
100126809,1696.59
100126823,1938.25
100126847,3900
100126913,3126.77
100126915,4905.17
100126916,2847.71
100126934,4580.25
100126935,1738.75
100126936,1635.67
100126944,31476.72
100126946,3796.1
100126947,3058.51
100126948,2511.82
100126955,2376.44
100126956,3065.74
100126959,1625.67
100126961,1000
100126962,1000
100126963,1000
100126964,1000
100126965,1000
100126966,939.78
100126969,1000.97
100126970,1000
100126971,1000
100126972,1000
100126996,1900.17
100126999,3717.95
100127000,20732.03
100127001,0
100127003,10500.26
100127004,5041.25
100127005,21656.52
100127006,14624.85
100127008,7378.54
100127009,8055.16
100127010,7523.53
100127016,2918.62
100127017,5102.76
100127021,2562.25
100127037,203.75
100127044,402.75
100127047,1755.75
100127048,2470.75
100127061,968.94
100127062,1000
100127063,1000
100127064,1000
100127070,4120.25
100127071,3660.25
100127076,2470.75
100127079,2562.25
100127082,1189.75
100127116,2049.77
100127126,8500
100127131,2805.64
100127132,1810.35
100127135,2057.48
100127136,1863.17
100127137,1964.66
100127144,262.75
100127145,2655.25
100127167,711.25
100127174,2465.5
100127178,3653.29
100127179,3675.6
100127180,3653.29
100127191,2745.25
100127200,210.15
100127202,4833.03
100127228,2708.86
100127229,3553.61
100127230,4656.93
100127231,2684.6
100127238,3668.25
100127239,3668.25
100127240,3668.25
100127256,3668.25
100127257,3668.25
100127259,3668.25
100127260,3668.25
100127267,3668.25
100127268,3668.25
100127276,3508.24
100127279,1592.19
100127282,2101.98
100127283,2153.98
100127288,4259.22
100127289,3484.25
100127292,1919.66
100127293,3074.58
100127294,4054.67
100127295,2464.87
100127296,3403.19
100127297,3111.42
100127298,1941.21
100127302,2287.75
100127342,814.11
100127359,786.77
100127361,2470.75
100127372,5440.84
100127373,4278.96
100127379,4968.34
100127380,4520.18
100127388,1905.67
100127390,1738.75
100127400,1822.32
100127401,3449.15
100127402,5504.25
100127403,4547.39
100127404,5234.03
100127405,0
100127414,2195.31
100127421,7500
100127446,3246.75
100127484,4315.27
100127485,4896.63
100127489,2936.89
100127491,2429.58
100127492,2743.73
100127493,3419.88
100127494,3541.86
100127495,2874.7
100127496,3383.83
100127498,2217.82
100127501,3978
100127516,83.93
100127536,3458.41
100127537,3823.13
100127539,2449.33
100127541,2239
100127559,976.46
100127579,370.23
100127592,4259.22
100127603,976.9
100127632,342.25
100127640,1473.25
100127643,2470.75
100127644,2470.75
100127645,2470.75
100127646,2470.75
100127647,2470.75
100127648,3700
100127650,3660.25
100127651,2231.58
100127653,410.75
100127659,549.25
100127672,31714.82
100127674,2019.16
100127676,4747.67
100127678,4443.75
100127698,855.75
100127701,1179.25
100127707,2411.73
100127708,3055.79
100127709,2733.25
100127714,4856.91
100127715,2112.48
100127716,2533.54
100127718,2901.75
100127719,2965.07
100127720,3067.95
100127721,3943.86
100127722,2777.77
100127723,4674.32
100127740,2267.86
100127744,4046.63
100127747,0
100127749,0
100127754,5044.39
100127755,318.54
100127756,2101.98
100127757,2057.48
100127768,592.25
100127771,2470.75
100127775,1869.33
100127780,2470.75
100127781,2470.75
100127782,2470.75
100127783,2470.75
100127784,2470.75
100127785,2470.75
100127786,2470.75
100127788,2087.27
100127793,2407.05
100127805,2800.75
100127837,855.75
100127868,110.42
100127869,1098.25
100127871,1595.46
100127875,1986.36
100127876,2914.81
100127877,2193.25
100127878,3447.32
100127879,4336.97
100127880,5417.41
100127882,694.69
100127885,2851.05
100127889,2492.73
100127890,5420.41
100127895,4827.5
100127898,4226.79
100127899,2123.3
100127900,3247.73
100127901,3846.22
100127903,3459.06
100127907,3916.66
100127908,2740.55
100127909,3596.59
100127910,2447.5
100127911,3607.69
100127912,3472.06
100127913,2783.68
100127914,2639.41
100127915,3260.44
100127921,2928.25
100127922,200
100127925,1450.75
100127926,1845.58
100127932,3137.62
100127933,4055.18
100127937,1583.91
100127940,7522.7
100127942,6333.32
100127949,438.75
100127951,200.75
100127952,3271.02
100127953,2663.39
100127955,3636.67
100127956,4386.85
100127957,5914.25
100127958,3229.75
100127960,3960.11
100127961,4140.41
100127962,4065.37
100127963,1723.75
100127964,2535.19
100127965,3673.01
100127968,2738.79
100127979,213.75
100127985,1544.8
100127986,1500
100127988,1544.8
100127989,1500
100127990,1500
100127991,1500
100127992,1544.8
100127993,1500
100127994,1544.8
100127996,476.25
100127998,1491.03
100128000,0
100128003,3590.34
100128004,5434.51
100128005,4041.7
100128006,3156.25
100128007,6760.02
100128011,1999.75
100128013,3210.91
100128014,5076.25
100128016,4456
100128017,4044.98
100128018,3635.81
100128019,2293.29
100128020,3347.84
100128021,3879.15
100128022,2893.09
100128023,2660.09
100128025,2999.89
100128026,2028.75
100128027,1330.59
100128032,1790.75
100128034,1744.36
100128049,1307.72
100128052,1813.36
100128061,568.04
100128075,840.7
100128079,36.24
100128092,3116.25
100128094,1006.75
100128095,1006.75
100128098,2537.05
100128113,400.95
100128123,612.23
100128134,3340.45
100128139,1967.24
100128144,1886.17
100128150,1610.36
100128157,629.65
100128170,929.94
100128175,6500
100128187,2473.75
100128188,2622.75
100128189,2306.78
100128194,1713.59
100128195,1476.93
100128197,1371.38
100128198,2122.35
100128199,1658.24
100128200,1495.36
100128201,1093.36
100128202,1882.05
100128203,1542.62
100128205,2362.96
100128215,2112.75
100128216,2112.75
100128217,3521.65
100128218,1730.46
100128220,1872.37
100128223,1890.55
100128230,3334.63
100128232,5192.25
100128233,3152.32
100128236,1920.15
100128237,3332.44
100128238,3627.11
100128239,3174.37
100128240,2221.17
100128273,1501.51
100128274,1500
100128275,1577.58
100128277,2179.65
100128288,4342.41
100128289,4182.55
100128311,2173.65
100128313,0
100128314,48.06
100128317,3313.22
100128319,1563.85
100128324,2287.75
100128325,2479.25
100128327,4128.25
100128330,2916.41
100128336,3374.75
100128341,2936.25
100128343,2172.23
100128355,1538.13
100128356,3056.44
100128357,3525.86
100128362,2223.48
100128364,2328.96
100128366,766.46
100128369,2644.15
100128386,2936.25
100128388,5558.44
100128410,3050.5
100128411,3565.5
100128412,899
100128413,957.5
100128414,3398.5
100128415,3535
100128416,3552.5
100128417,3400.2
100128418,2238.5
100128425,7340.25
100128435,5131
100128436,4498.09
100128437,1688.86
100128448,5313
100128461,0
100128466,5316.25
100128467,4580.25
100128478,1280.22
100128482,2295.75
100128483,2021.25
100128485,2272.4
100128487,2030.37
100128488,2477.73
100128490,2421.82
100128491,1058.39
100128492,1900.54
100128493,3485.91
100128494,2683.74
100128495,1811.55
100128496,2923.29
100128497,2820.41
100128498,4179.44
100128499,1369
100128508,2203.06
100128532,5008.59
100128536,3414.25
100128537,2113.51
100128538,3379.35
100128547,769.75
100128550,593.75
100128556,2846.11
100128557,1587.25
100128558,1226.25
100128560,0
100128564,1298.09
100128565,2710.6
100128566,366.98
100128579,2881.49
100128580,3468.13
100128581,4086.82
100128582,3331.07
100128583,7340.25
100128584,1106.75
100128585,1020.13
100128586,1172.86
100128588,3838.31
100128590,3237.45
100128593,3095.55
100128594,5400.15
100128596,3063.52
100128597,3080.27
100128598,3100.82
100128599,2987.78
100128600,2980.4
100128602,0
100128603,2702.1
100128614,15054.65
100128634,2587.75
100128635,5183.93
100128650,1284.29
100128653,2111.25
100128655,2485.94
100128658,2388.71
100128659,274.75
100128661,1990.55
100128662,2832.41
100128663,1960.83
100128664,0
100128666,0
100128670,295.25
100128672,6749.38
100128674,2013.25
100128677,3493.75
100128678,2487.25
100128679,1830.25
100128684,16.72
100128696,2239.81
100128697,3292.87
100128698,2513.54
100128699,2617.86
100128700,3828.82
100128701,3113.33
100128702,2775.65
100128703,2820.34
100128705,2475.38
100128709,3149.38
100128711,2427.77
100128713,2988.1
100128714,2888.59
100128715,2335.73
100128716,3262.64
100128719,3243.05
100128720,3166.47
100128721,3197.38
100128722,2528.89
100128723,2577.4
100128724,3354.19
100128725,2859.61
100128726,5033.6
100128727,4834.66
100128728,4201.78
100128729,4216.71
100128733,2748.85
100128734,2007.48
100128735,3432.41
100128736,1774.25
100128737,2666.49
100128738,2843.54
100128739,2936.25
100128740,3225.78
100128748,2415.6
100128749,1555.75
100128750,3199.39
100128752,5738.7
100128753,3136.64
100128759,0
100128760,0
100128764,2587.75
100128773,2766.31
100128776,1678.29
100128777,1266.65
100128836,1179
100128851,2252.9
100128855,2738.8
100128857,771.25
100128859,661.75
100128862,736.25
100128863,1701.25
100128870,2001.83
100128871,823.75
100128876,318.25
100128885,1818.85
100128887,1818.85
100128889,1616.35
100128890,1813.2
100128891,2286.84
100128892,3496.37
100128893,3396.74
100128894,3703.23
100128895,2059.75
100128896,1399.25
100128897,2697.39
100128898,1532.07
100128900,2119.25
100128905,2866.35
100128906,2653.75
100128907,3407.03
100128931,8000
100128941,1647.25
100128942,1830.25
100128944,0
100128946,6880.25
100128952,502.25
100128957,6456.52
100128958,265.07
100128959,1647.25
100128960,1647.25
100128964,368.15
100128968,3290.77
100128977,320.75
100128978,686.75
100128979,686.75
100128980,641.75
100128981,791.25
100128982,141.65
100128983,696.75
100128985,402.75
100128986,3087.75
100128993,2274.94
100128994,3310.1
100128995,2360.15
100129004,410.75
100129005,410.75
100129006,410.75
100129007,1773.25
100129008,3642.5
100129009,2675.19
100129010,2000.92
100129011,2084.28
100129012,1489.75
100129013,1489.75
100129014,1489.75
100129015,1489.75
100129018,274.75
100129023,1281.25
100129024,1281.25
100129025,1281.25
100129027,1827.73
100129028,1281.25
100129029,1281.25
100129031,1281.25
100129032,1281.25
100129033,1281.25
100129035,1281.25
100129036,1973.46
100129050,1981.99
100129051,2809.51
100129052,3431.21
100129055,2964.77
100129065,388.25
100129070,708.25
100129072,776.25
100129074,507.25
100129076,701.25
100129080,1654.72
100129081,3311.75
100129140,354.25
100129142,401.75
100129143,265.75
100129151,2013.25
100129156,1539.62
100129159,0
100129163,720.25
100129166,1711.72
100129167,86.96
100129168,86.96
100129171,35.15
100129180,2843.2
100129184,321.51
100129187,7951.61
100129191,1483.99
100129195,2310.65
100129196,1788.48
100129197,2235.8
100129199,2107.98
100129201,2655.25
100129202,2389.75
100129203,2655.25
100129205,1904.25
100129206,1904.25
100129207,3145
100129208,1489.75
100129209,1712.5
100129210,1489.75
100129211,2169.75
100129212,2922.36
100129214,2940.27
100129215,1550.25
100129216,1596.25
100129217,1489.75
100129218,2304.25
100129219,2127.25
100129220,1489.75
100129243,366.25
100129245,7375.67
100129246,2071.25
100129247,2071.25
100129248,1989.2
100129249,1450.14
100129250,2233.06
100129251,1532.19
100129252,1392.16
100129253,1325.32
100129254,698.65
100129255,1069.5
100129256,1134.5
100129258,3241.62
100129259,4967.74
100129264,139.4
100129265,328.25
100129266,402.75
100129267,598.95
100129268,977.27
100129271,452.75
100129272,432.75
100129273,432.75
100129274,552.25
100129284,388.25
100129285,701.25
100129287,442.75
100129289,84.6
100129291,237.75
100129294,417.75
100129295,373.25
100129297,363.25
100129298,592.25
100129299,134.4
100129301,462.75
100129302,48.06
100129305,88.96
100129306,546.71
100129307,349.61
100129308,300.25
100129309,328.25
100129310,848.28
100129311,848.28
100129315,658.83
100129317,658.83
100129319,658.83
100129320,658.83
100129322,417.75
100129323,338.25
100129333,134.4
100129335,89.6
100129338,658.83
100129340,658.83
100129343,658.83
100129344,658.83
100129345,658.83
100129346,658.83
100129347,658.83
100129348,658.83
100129353,875.75
100129354,875.75
100129356,1116.7
100129357,1105.35
100129358,1105.35
100129359,767.02
100129361,777.34
100129362,1214.49
100129363,1707.45
100129365,1347.38
100129366,1576.56
100129367,767.02
100129375,1021.61
100129376,1025.6
100129378,191.39
100129379,1748.63
100129380,915.25
100129381,549.25
100129397,79.59
100129399,50.7
100129400,31.16
100129401,37.44
100129402,73.59
100129417,840.75
100129418,701.25
100129420,79.59
100129446,612.16
100129447,102.4
100129453,134.4
100129454,134.4
100129455,134.4
100129456,134.4
100129457,517.25
100129458,134.4
100129459,134.4
100129460,134.4
100129463,447.75
100129464,0
100129465,0
